cbo,key
138690,134000
138690,136732
138690,139414
138690,140094
138690,140097
138690,140098
150686,140099
138690,140103
138690,140126
150686,140753
138690,141748
138690,142175
150153,143255
138690,144557
150153,144896
150622,146010
150153,146766
150152,146897
150153,147095
138690,147611
150705,147765
138690,148376
150153,148377
150705,148382
138690,148542
150622,148561
138690,149035
150152,149809
150152,149810
150152,150339
150706,151046
150686,154228
